employee_id,country,department,job_level,work_mode,tenure_years,annual_salary_eur,productivity_score,satisfaction_score,annual_cost_saving_eur,meetings_per_week,commute_hours_pw
GE-0069,Germany,Product Management,Senior,Fully Remote,2.7,57232.0,7.85,4.51,12000.0,4,0.0
GE-0070,Germany,Sales,Mid,In-Office,6.5,83491.0,7.73,8.39,0.0,14,6.982202807617386
GE-0071,Germany,Engineering,Senior,Hybrid,2.0,87606.0,7.17,6.57,6000.0,8,1.2364448241449197
GE-0072,Germany,Data & Analytics,Junior,Fully Remote,1.7,77725.0,8.39,10.0,12000.0,4,0.0
GE-0073,Germany,Sales,Junior,Fully Remote,8.6,66109.0,5.7,5.95,12000.0,9,0.0
GE-0074,Germany,Data & Analytics,Junior,In-Office,1.0,54493.0,7.94,6.78,0.0,17,7.7681630391484475
GE-0075,Germany,Data & Analytics,Senior,Hybrid,6.5,54204.0,8.31,9.71,6000.0,6,1.358189878656363
GE-0076,Germany,Product Management,Manager,Hybrid,2.3,71793.0,7.23,10.0,6000.0,15,2.007377218656478
GE-0077,Germany,Data & Analytics,Junior,Hybrid,2.5,70439.0,7.99,10.0,6000.0,9,2.240482708537824
GE-0078,Germany,Sales,Mid,Fully Remote,1.3,83221.0,5.5,8.61,12000.0,17,0.0
GE-0079,Germany,Product Management,Junior,Fully Remote,3.0,73456.0,8.11,8.34,12000.0,4,0.0
GE-0080,Germany,Engineering,Manager,Fully Remote,1.4,45460.0,6.78,7.69,12000.0,9,0.0
GE-0081,Germany,Product Management,Lead,In-Office,0.5,78675.0,6.57,7.67,0.0,17,7.041341056081391
GE-0082,Germany,Engineering,Mid,Hybrid,1.1,52025.0,8.86,6.57,6000.0,16,2.342812145287474
GE-0083,Germany,Data & Analytics,Junior,Fully Remote,0.5,60008.0,6.15,5.57,12000.0,4,0.0
GE-0084,Germany,HR & Ops,Senior,Fully Remote,13.4,68253.0,5.31,6.79,12000.0,14,0.0
GE-0085,Germany,Engineering,Mid,Fully Remote,11.8,90944.0,5.13,6.54,12000.0,5,0.0
GE-0086,Germany,Data & Analytics,Senior,Fully Remote,1.8,105429.0,7.73,6.12,12000.0,14,0.0
GE-0087,Germany,Engineering,Mid,Hybrid,4.6,72887.0,6.06,8.44,6000.0,16,2.6479953037599566
GE-0088,Germany,Engineering,Junior,Hybrid,1.5,62618.0,9.71,8.83,6000.0,13,2.6018774430828606
GE-0089,Germany,Data & Analytics,Mid,In-Office,3.9,71949.0,4.7,6.63,0.0,4,7.418419838439949
GE-0090,Germany,Engineering,Senior,Hybrid,5.7,76540.0,9.64,9.62,6000.0,8,1.1445538951463532
GE-0091,Germany,Data & Analytics,Mid,Fully Remote,10.3,60831.0,7.25,5.09,12000.0,12,0.0
GE-0092,Germany,Engineering,Senior,Hybrid,1.8,88338.0,7.48,7.11,6000.0,13,1.1741424111546164
GE-0093,Germany,Engineering,Junior,Hybrid,5.4,67991.0,6.95,6.32,6000.0,10,1.4141141667660657
GE-0094,Germany,Engineering,Junior,Hybrid,1.1,71471.0,8.08,4.6,6000.0,7,2.6978477389521456
GE-0095,Germany,Engineering,Junior,Hybrid,15.0,73657.0,7.55,7.28,6000.0,10,1.615358178955897
GE-0096,Germany,Engineering,Junior,Hybrid,0.5,70481.0,8.92,7.22,6000.0,4,2.931664639436665
GE-0097,Germany,Data & Analytics,Senior,Hybrid,3.2,75906.0,7.74,9.67,6000.0,7,1.8875426781844902
GE-0098,Germany,Sales,Senior,Hybrid,3.8,56976.0,7.78,8.35,6000.0,15,2.7532276540317833
GE-0099,Germany,Data & Analytics,Junior,Fully Remote,4.1,57742.0,6.56,5.26,12000.0,7,0.0
GE-0100,Germany,Sales,Mid,Fully Remote,0.5,50698.0,6.93,9.58,12000.0,11,0.0
GE-0101,Germany,Engineering,Junior,Fully Remote,9.8,70714.0,7.37,8.63,12000.0,6,0.0
GE-0102,Germany,Data & Analytics,Mid,Hybrid,0.7,75126.0,5.55,8.27,6000.0,10,2.19485848514684
GE-0103,Germany,Product Management,Junior,Fully Remote,3.4,70951.0,5.38,6.46,12000.0,15,0.0
GE-0104,Germany,Product Management,Mid,Hybrid,0.9,86768.0,8.49,5.96,6000.0,7,2.7452517709717927
GE-0105,Germany,Data & Analytics,Lead,In-Office,1.3,64927.0,7.41,5.94,0.0,11,6.45708028756576
GE-0106,Germany,HR & Ops,Senior,Fully Remote,2.8,73694.0,6.78,8.43,12000.0,7,0.0
GE-0107,Germany,Product Management,Mid,Hybrid,1.9,50808.0,7.62,10.0,6000.0,12,2.107117065324716
GE-0108,Germany,HR & Ops,Senior,Hybrid,0.6,59968.0,8.02,9.71,6000.0,3,1.624383767572776
GE-0109,Germany,Product Management,Mid,Fully Remote,0.7,74042.0,6.35,6.07,12000.0,9,0.0
GE-0110,Germany,Data & Analytics,Mid,Fully Remote,1.9,76038.0,6.07,5.12,12000.0,6,0.0
GE-0111,Germany,HR & Ops,Manager,Fully Remote,5.0,61178.0,7.24,7.01,12000.0,9,0.0
GE-0112,Germany,HR & Ops,Lead,Fully Remote,8.0,64069.0,5.83,4.15,12000.0,15,0.0
GE-0113,Germany,Engineering,Junior,In-Office,0.5,45268.0,7.69,6.98,0.0,12,3.312534707552054
GE-0114,Germany,Data & Analytics,Senior,In-Office,1.7,60359.0,5.16,6.28,0.0,9,4.784912147343319
GE-0115,Germany,HR & Ops,Junior,Hybrid,0.5,76575.0,8.83,6.7,6000.0,11,1.4382521293416017
GE-0116,Germany,Data & Analytics,Junior,In-Office,0.5,72478.0,7.77,4.11,0.0,9,5.423447584681537
GE-0117,Germany,Engineering,Mid,In-Office,3.8,71509.0,7.51,7.27,0.0,17,3.5306279274549777
GE-0118,Germany,HR & Ops,Senior,Fully Remote,3.2,65647.0,8.18,6.0,12000.0,13,0.0
GE-0119,Germany,Data & Analytics,Mid,In-Office,0.6,65092.0,9.2,4.75,0.0,16,4.498343419207454
GE-0120,Germany,Data & Analytics,Mid,Hybrid,0.9,56416.0,8.82,3.09,6000.0,15,2.236581597509576
GE-0121,Germany,Data & Analytics,Senior,In-Office,0.5,74085.0,4.99,6.46,0.0,7,4.029900179384809
GE-0122,Germany,HR & Ops,Junior,In-Office,6.3,70473.0,5.66,9.16,0.0,12,7.886419115884647
GE-0123,Germany,Sales,Senior,Fully Remote,12.9,71396.0,6.25,9.29,12000.0,16,0.0
GE-0124,Germany,HR & Ops,Senior,Fully Remote,0.5,58162.0,7.03,6.11,12000.0,6,0.0
GE-0125,Germany,Product Management,Manager,Fully Remote,0.9,37007.0,7.62,5.9,12000.0,9,0.0
GE-0126,Germany,HR & Ops,Senior,Hybrid,7.1,79263.0,6.73,8.1,6000.0,6,1.8365822221869719
GE-0127,Germany,Product Management,Mid,In-Office,9.1,58775.0,7.42,5.0,0.0,15,5.578382755385365
GE-0128,Germany,Sales,Lead,In-Office,1.9,53784.0,6.29,6.95,0.0,8,3.5407750728667837
GE-0129,Germany,HR & Ops,Lead,Fully Remote,0.5,74015.0,6.27,7.95,12000.0,16,0.0
GE-0130,Germany,Sales,Mid,Hybrid,0.5,59904.0,5.91,9.24,6000.0,9,2.110994560339263
GE-0131,Germany,Product Management,Mid,Hybrid,3.0,78779.0,6.49,7.25,6000.0,13,2.7028114957829477
GE-0132,Germany,Sales,Senior,Fully Remote,1.7,73021.0,5.38,6.49,12000.0,13,0.0
GE-0133,Germany,Sales,Junior,Fully Remote,0.5,73886.0,5.83,5.48,12000.0,5,0.0
GE-0134,Germany,Data & Analytics,Senior,Fully Remote,3.1,47243.0,8.26,5.56,12000.0,7,0.0
GE-0135,Germany,Sales,Junior,In-Office,0.5,80755.0,6.06,6.16,0.0,5,3.982434834781056
GE-0136,Germany,Engineering,Mid,Fully Remote,5.4,68396.0,10.0,7.35,12000.0,10,0.0
GE-0137,Germany,Sales,Lead,Hybrid,1.3,60199.0,8.19,8.77,6000.0,8,2.7158698279946574
GE-0138,Germany,Sales,Mid,Hybrid,0.5,66864.0,7.82,6.2,6000.0,16,1.5301625686771452
GE-0139,Germany,Data & Analytics,Manager,Fully Remote,3.1,41909.0,5.97,9.04,12000.0,14,0.0
GE-0140,Germany,Data & Analytics,Junior,In-Office,1.8,70312.0,8.04,6.09,0.0,12,3.5068992123493175
GE-0141,Germany,Product Management,Mid,In-Office,12.7,51618.0,6.51,6.47,0.0,5,5.411370000407718
GE-0142,Germany,HR & Ops,Junior,Fully Remote,2.7,47415.0,7.15,5.68,12000.0,4,0.0
GE-0143,Germany,Data & Analytics,Senior,Hybrid,1.1,45209.0,10.0,3.76,6000.0,11,2.9396377292675693
GE-0144,Germany,Sales,Junior,Fully Remote,4.3,79465.0,6.88,8.13,12000.0,14,0.0
GE-0145,Germany,Engineering,Senior,Fully Remote,1.1,56820.0,8.38,7.91,12000.0,8,0.0
GE-0146,Germany,Sales,Senior,Fully Remote,8.2,84938.0,6.16,6.38,12000.0,17,0.0
GE-0147,Germany,Engineering,Senior,Hybrid,1.6,58035.0,7.56,7.5,6000.0,11,1.8157792170145601
GE-0148,Germany,Data & Analytics,Mid,Hybrid,2.8,42804.0,9.72,8.17,6000.0,7,2.4560245155923948
GE-0149,Germany,Sales,Lead,Fully Remote,0.5,50485.0,6.25,4.46,12000.0,10,0.0
GE-0150,Germany,HR & Ops,Junior,Fully Remote,1.9,81066.0,9.17,6.01,12000.0,14,0.0
GE-0151,Germany,Sales,Senior,In-Office,6.3,62973.0,8.05,7.69,0.0,8,6.74976840901204
GE-0152,Germany,Sales,Junior,Fully Remote,5.7,57872.0,6.33,4.92,12000.0,16,0.0
GE-0153,Germany,HR & Ops,Manager,Fully Remote,0.9,67080.0,7.76,7.24,12000.0,9,0.0
GE-0154,Germany,Engineering,Mid,Hybrid,0.9,71523.0,8.77,5.37,6000.0,8,2.6728311931597135
GE-0155,Germany,Sales,Mid,In-Office,5.9,79526.0,7.95,7.2,0.0,14,7.26106195600837
GE-0156,Germany,Data & Analytics,Junior,Fully Remote,9.3,83830.0,5.12,6.75,12000.0,5,0.0
GE-0157,Germany,Data & Analytics,Junior,Hybrid,0.5,60323.0,6.73,4.98,6000.0,5,1.1708060603254433
GE-0158,Germany,Sales,Mid,Hybrid,2.1,47761.0,7.3,9.15,6000.0,7,1.5627012437076833
GE-0159,Germany,Engineering,Mid,Fully Remote,1.4,59625.0,6.91,5.7,12000.0,10,0.0
GE-0160,Germany,HR & Ops,Junior,Hybrid,7.2,68384.0,8.34,6.18,6000.0,14,1.4796399044131805
GE-0161,Germany,Product Management,Mid,Fully Remote,0.5,52471.0,7.21,7.1,12000.0,11,0.0
GE-0162,Germany,HR & Ops,Mid,Hybrid,0.8,52557.0,6.0,9.12,6000.0,12,2.1536158392765117
GE-0163,Germany,Product Management,Senior,Hybrid,4.9,69469.0,8.06,5.88,6000.0,11,1.1054879043244348
GE-0164,Germany,Sales,Senior,Hybrid,0.5,64368.0,8.33,7.49,6000.0,9,1.8757997742858246
GE-0165,Germany,Sales,Mid,Fully Remote,2.4,65426.0,7.67,7.44,12000.0,17,0.0
GE-0166,Germany,Engineering,Mid,In-Office,2.0,55140.0,8.5,7.54,0.0,6,5.24539257067438
GE-0167,Germany,Data & Analytics,Mid,Fully Remote,1.4,62005.0,8.0,7.06,12000.0,4,0.0
GE-0168,Germany,Sales,Lead,Fully Remote,1.8,52985.0,7.55,6.25,12000.0,7,0.0
GE-0169,Germany,Data & Analytics,Mid,Fully Remote,2.6,76573.0,6.92,5.56,12000.0,3,0.0
GE-0170,Germany,Product Management,Lead,Hybrid,0.6,78458.0,5.61,7.53,6000.0,12,2.7301421987507877
GE-0171,Germany,Sales,Senior,Hybrid,3.0,41000.0,8.12,5.79,6000.0,6,2.6963629965598943
GE-0172,Germany,Data & Analytics,Mid,Fully Remote,5.7,52916.0,7.25,2.42,12000.0,5,0.0
GE-0173,Germany,Data & Analytics,Senior,Hybrid,5.0,45545.0,7.93,8.05,6000.0,8,1.339518402785653
GE-0174,Germany,HR & Ops,Manager,Fully Remote,0.6,56550.0,5.47,8.16,12000.0,7,0.0
GE-0175,Germany,Engineering,Mid,Hybrid,0.6,63915.0,6.3,3.86,6000.0,11,2.0946493686789722
GE-0176,Germany,Data & Analytics,Mid,Fully Remote,1.1,46155.0,8.26,5.29,12000.0,15,0.0
GE-0177,Germany,Product Management,Mid,Hybrid,1.6,53016.0,7.55,8.33,6000.0,12,2.0306103759887533
GE-0178,Germany,Data & Analytics,Mid,Hybrid,1.8,51949.0,8.42,10.0,6000.0,14,2.8124670388702775
GE-0179,Germany,HR & Ops,Manager,In-Office,4.0,67694.0,7.23,6.53,0.0,15,7.303339108944425
GE-0180,Germany,HR & Ops,Junior,Fully Remote,0.5,65901.0,7.04,5.71,12000.0,7,0.0
GE-0181,Germany,Data & Analytics,Lead,Fully Remote,0.5,55617.0,8.13,6.53,12000.0,14,0.0
GE-0182,Germany,HR & Ops,Lead,Fully Remote,1.7,67299.0,6.38,8.86,12000.0,17,0.0
GE-0183,Germany,Sales,Mid,In-Office,4.2,57893.0,7.32,5.53,0.0,13,7.496244591446013
GE-0184,Germany,Sales,Mid,In-Office,0.8,61468.0,6.65,5.3,0.0,16,4.548458555525945
GE-0185,Germany,Data & Analytics,Mid,Fully Remote,3.6,86755.0,6.48,6.08,12000.0,9,0.0
GE-0186,Germany,HR & Ops,Senior,Hybrid,1.1,82426.0,7.23,5.97,6000.0,17,2.250956120849323
GE-0187,Germany,HR & Ops,Senior,In-Office,7.6,48105.0,7.47,6.68,0.0,3,4.045185186929611
GE-0188,Germany,HR & Ops,Senior,Hybrid,7.9,75787.0,7.03,9.84,6000.0,7,2.991021936031733
GE-0189,Germany,Sales,Mid,Hybrid,1.2,75548.0,9.11,7.88,6000.0,15,1.8856587407686483
GE-0190,Germany,Sales,Junior,Fully Remote,0.9,50073.0,5.93,6.42,12000.0,16,0.0
GE-0191,Germany,Sales,Manager,Fully Remote,1.9,75644.0,6.78,6.36,12000.0,10,0.0
GE-0192,Germany,Sales,Mid,In-Office,1.0,84993.0,6.67,4.16,0.0,14,5.229127749135081
GE-0193,Germany,Sales,Mid,In-Office,3.9,50407.0,8.94,7.82,0.0,3,3.433532837978201
GE-0194,Germany,HR & Ops,Mid,Hybrid,6.1,53072.0,7.84,7.28,6000.0,6,1.7759455087957727
GE-0195,Germany,Product Management,Junior,Fully Remote,3.9,78230.0,8.24,6.53,12000.0,16,0.0
GE-0196,Germany,Data & Analytics,Senior,Fully Remote,6.1,68529.0,5.22,10.0,12000.0,12,0.0
GE-0197,Germany,Sales,Senior,Hybrid,1.8,72169.0,7.92,7.85,6000.0,16,1.1984591921892935
GE-0198,Germany,HR & Ops,Senior,In-Office,0.6,69428.0,8.27,5.37,0.0,9,6.504042090008701
GE-0199,Germany,Sales,Manager,In-Office,4.7,70079.0,7.3,5.86,0.0,12,3.1622553839533785
GE-0200,Germany,Sales,Mid,Hybrid,1.6,47756.0,8.88,9.12,6000.0,8,1.5655309141201972
GE-0201,Germany,HR & Ops,Manager,Hybrid,3.9,78615.0,6.98,7.57,6000.0,17,2.2855548269598556
GE-0202,Germany,HR & Ops,Manager,Fully Remote,1.1,80205.0,8.69,4.64,12000.0,14,0.0
GE-0203,Germany,Data & Analytics,Lead,Fully Remote,0.5,62018.0,9.76,8.18,12000.0,5,0.0
GE-0204,Germany,Engineering,Lead,In-Office,15.0,64435.0,6.76,5.5,0.0,4,6.704346341926089
GE-0205,Germany,Engineering,Mid,Hybrid,0.6,45096.0,7.07,10.0,6000.0,11,2.1861123799347153
GE-0206,Germany,Sales,Senior,Fully Remote,15.0,71685.0,8.74,8.42,12000.0,15,0.0
GE-0207,Germany,Data & Analytics,Senior,Fully Remote,13.2,72437.0,8.9,6.13,12000.0,12,0.0
GE-0208,Germany,HR & Ops,Junior,Hybrid,5.5,64192.0,6.97,9.32,6000.0,4,1.9486173297368605
GE-0209,Germany,Data & Analytics,Junior,Fully Remote,3.8,79617.0,6.5,6.9,12000.0,13,0.0
GE-0210,Germany,Product Management,Lead,Fully Remote,3.0,60657.0,6.66,8.08,12000.0,16,0.0
GE-0211,Germany,Data & Analytics,Senior,Hybrid,7.0,72340.0,5.99,8.13,6000.0,12,2.195616026803028
GE-0212,Germany,HR & Ops,Senior,Hybrid,1.2,51744.0,6.5,6.13,6000.0,11,2.170593656668623
GE-0213,Germany,Data & Analytics,Manager,Hybrid,2.2,64694.0,6.4,6.43,6000.0,10,2.3226853578894486
GE-0214,Germany,Product Management,Mid,Fully Remote,3.4,62733.0,6.08,8.34,12000.0,9,0.0
GE-0215,Germany,Engineering,Senior,Hybrid,1.9,67929.0,7.56,6.9,6000.0,11,2.5956093626821453
GE-0216,Germany,Product Management,Mid,Fully Remote,2.0,60196.0,7.28,6.19,12000.0,16,0.0
GE-0217,Germany,HR & Ops,Mid,Fully Remote,1.4,63291.0,8.86,5.37,12000.0,5,0.0
GE-0218,Germany,Engineering,Junior,Hybrid,2.9,75739.0,6.4,8.04,6000.0,11,2.993618361362218
GE-0219,Germany,HR & Ops,Junior,Hybrid,6.7,59322.0,8.78,10.0,6000.0,9,1.060831761615936
GE-0220,Germany,HR & Ops,Lead,In-Office,0.8,44114.0,6.94,4.9,0.0,17,4.103562929722093
GE-0221,Germany,Sales,Junior,Hybrid,9.5,87745.0,7.54,7.44,6000.0,9,2.9436906026509693
GE-0222,Germany,Sales,Mid,Hybrid,4.1,82959.0,8.41,9.52,6000.0,3,1.9388136839785162
GE-0223,Germany,Sales,Senior,Fully Remote,6.1,48201.0,5.65,6.68,12000.0,15,0.0
GE-0224,Germany,Data & Analytics,Junior,Fully Remote,2.8,73966.0,7.46,7.48,12000.0,6,0.0
GE-0225,Germany,HR & Ops,Senior,Fully Remote,5.3,58461.0,7.2,5.21,12000.0,5,0.0
GE-0226,Germany,Sales,Junior,Fully Remote,0.5,68425.0,7.59,7.44,12000.0,11,0.0
GE-0227,Germany,HR & Ops,Junior,In-Office,6.0,68825.0,7.55,6.22,0.0,13,7.699621864428544
GE-0228,Germany,Sales,Junior,Hybrid,0.5,61953.0,10.0,8.88,6000.0,12,1.658461230682789
GE-0229,Germany,Sales,Mid,In-Office,7.7,54811.0,6.43,8.28,0.0,12,6.548356717522623
GE-0230,Germany,HR & Ops,Senior,Hybrid,15.0,56023.0,6.96,10.0,6000.0,7,1.1933891195751343
GE-0231,Germany,HR & Ops,Manager,Hybrid,1.2,53090.0,6.85,8.27,6000.0,16,1.3686027939001981
GE-0232,Germany,Sales,Junior,Hybrid,0.8,54186.0,6.93,7.89,6000.0,3,2.5489712062395817
GE-0233,Germany,Engineering,Junior,Hybrid,5.1,64127.0,6.84,7.69,6000.0,6,2.211793630358966
GE-0234,Germany,Product Management,Junior,Hybrid,1.0,55695.0,9.03,6.87,6000.0,6,2.1238705070393267
GE-0235,Germany,Sales,Senior,Fully Remote,7.0,73867.0,8.7,7.31,12000.0,3,0.0
GE-0236,Germany,Sales,Senior,Hybrid,0.5,84334.0,6.92,6.96,6000.0,6,1.9539667852353075
GE-0237,Germany,Data & Analytics,Mid,Fully Remote,0.5,57459.0,6.0,7.05,12000.0,11,0.0
GE-0238,Germany,Engineering,Senior,Fully Remote,13.5,68112.0,7.57,8.78,12000.0,13,0.0
GE-0239,Germany,Sales,Manager,Hybrid,3.9,71496.0,6.94,5.89,6000.0,10,2.8619972394251683
GE-0240,Germany,HR & Ops,Mid,Fully Remote,6.6,71136.0,7.76,8.51,12000.0,8,0.0
GE-0241,Germany,Engineering,Manager,In-Office,1.4,65987.0,7.44,8.48,0.0,10,5.361242494725793
GE-0242,Germany,Engineering,Mid,In-Office,3.9,74655.0,5.38,6.32,0.0,3,7.993964679078273
GE-0243,Germany,Product Management,Lead,In-Office,3.2,71269.0,9.06,3.32,0.0,5,3.412860790176386
GE-0244,Germany,Product Management,Senior,Fully Remote,3.2,48910.0,9.16,5.89,12000.0,15,0.0
GE-0245,Germany,Sales,Mid,Fully Remote,4.0,76299.0,6.26,8.75,12000.0,6,0.0
